Data,NAV
15/10/2021,37.0839 
14/10/2021,36.8195 
13/10/2021,36.3204 
12/10/2021,36.2290 
11/10/2021,36.2380 
08/10/2021,36.3983 
07/10/2021,36.4559 
06/10/2021,36.1411 
05/10/2021,35.9861 
04/10/2021,35.6117 
01/10/2021,36.0490 
30/09/2021,35.8776 
29/09/2021,36.0585 
28/09/2021,35.9071 
27/09/2021,36.5637 
24/09/2021,36.6170 
23/09/2021,36.5387 
22/09/2021,36.2101 
21/09/2021,35.9468 
20/09/2021,35.9018 
17/09/2021,36.4579 
16/09/2021,36.6807 
15/09/2021,36.5674 
14/09/2021,36.4235 
13/09/2021,36.5717 
10/09/2021,36.4493 
09/09/2021,36.6633 
08/09/2021,36.8035 
07/09/2021,36.8421 
06/09/2021,36.9161 
03/09/2021,36.7888 
02/09/2021,36.7960 
01/09/2021,36.7175 
31/08/2021,36.7488 
30/08/2021,36.8252 
27/08/2021,36.7121 
26/08/2021,36.5356 
25/08/2021,36.7251 
24/08/2021,36.6514 
23/08/2021,36.6042 
20/08/2021,36.4075 
19/08/2021,36.1987 
18/08/2021,36.2772 
17/08/2021,36.5194 
16/08/2021,36.5499 
13/08/2021,36.5711 
12/08/2021,36.6568 
11/08/2021,36.5451 
10/08/2021,36.4819 
09/08/2021,36.3757 
06/08/2021,36.3389 
05/08/2021,36.1441 
04/08/2021,35.9274 
03/08/2021,35.9642 
02/08/2021,35.7374 
30/07/2021,35.6949 
29/07/2021,35.8561 
28/07/2021,35.8745 
27/07/2021,35.7884 
26/07/2021,35.9764 
23/07/2021,36.0247 
22/07/2021,35.6264 
21/07/2021,35.5216 
20/07/2021,35.2384 
19/07/2021,34.7556 
16/07/2021,35.3185 
15/07/2021,35.5106 
14/07/2021,35.6848 
13/07/2021,35.6737 
12/07/2021,35.6477 
09/07/2021,35.4829 
08/07/2021,35.1530 
07/07/2021,35.6329 
06/07/2021,35.4590 
05/07/2021,35.4480 
02/07/2021,35.4597 
01/07/2021,35.1748 
30/06/2021,35.0725 
29/06/2021,35.0150 
28/06/2021,34.9586 
25/06/2021,34.8848 
24/06/2021,34.8185 
23/06/2021,34.5782 
22/06/2021,34.7565 
21/06/2021,34.5189 
18/06/2021,34.3350 
17/06/2021,34.5755 
16/06/2021,34.2064 
15/06/2021,34.2848 
14/06/2021,34.3181 
11/06/2021,34.2692 
10/06/2021,34.0404 
09/06/2021,33.8759 
08/06/2021,33.9347 
07/06/2021,33.9232 
04/06/2021,33.9644 
03/06/2021,33.7602 
02/06/2021,33.6956 
01/06/2021,33.5598 
31/05/2021,33.5234 
28/05/2021,33.7043 
27/05/2021,33.5313 
26/05/2021,33.4693 
25/05/2021,33.3704 
24/05/2021,33.4326 
21/05/2021,33.2480 
20/05/2021,33.1632 
19/05/2021,32.8052 
18/05/2021,32.9948 
17/05/2021,33.2536 
14/05/2021,33.3302 
13/05/2021,32.9700 
12/05/2021,32.7776 
11/05/2021,33.1283 
10/05/2021,33.5252 
07/05/2021,33.7719 
06/05/2021,33.6679 
05/05/2021,33.5919 
04/05/2021,33.3947 
03/05/2021,33.5743 
30/04/2021,33.5626 
29/04/2021,33.6314 
28/04/2021,33.5606 
27/04/2021,33.5817 
26/04/2021,33.6248 
23/04/2021,33.6021 
22/04/2021,33.4235 
21/04/2021,33.5079 
20/04/2021,33.2555 
19/04/2021,33.6566 
16/04/2021,33.8703 
15/04/2021,33.7616 
14/04/2021,33.4442 
13/04/2021,33.6131 
12/04/2021,33.5377 
09/04/2021,33.6212 
08/04/2021,33.4298 
07/04/2021,33.2501 
06/04/2021,33.3654 
05/04/2021,33.4421 
01/04/2021,33.1635 
31/03/2021,32.8496 
30/03/2021,32.8412 
29/03/2021,32.7951 
26/03/2021,32.7404 
25/03/2021,32.3342 
24/03/2021,32.0887 
23/03/2021,32.2151 
22/03/2021,32.3020 
19/03/2021,32.2075 
18/03/2021,32.2320 
17/03/2021,32.5672 
16/03/2021,32.5590 
15/03/2021,32.4761 
12/03/2021,32.2498 
11/03/2021,32.1725 
10/03/2021,31.9880 
09/03/2021,31.8632 
08/03/2021,31.4972 
05/03/2021,31.4313 
04/03/2021,30.8194 
03/03/2021,31.1342 
02/03/2021,31.4478 
01/03/2021,31.6662 
26/02/2021,30.7837 
25/02/2021,30.9392 
24/02/2021,31.6688 
23/02/2021,31.4221 
22/02/2021,31.4660 
19/02/2021,31.6993 
18/02/2021,31.7980 
17/02/2021,32.0513 
16/02/2021,31.9739 
15/02/2021,31.9374 
12/02/2021,31.8500 
11/02/2021,31.6818 
10/02/2021,31.6091 
09/02/2021,31.6721 
08/02/2021,31.7712 
05/02/2021,31.5737 
04/02/2021,31.5134 
03/02/2021,31.1962 
02/02/2021,31.0864 
01/02/2021,30.5610 
29/01/2021,29.9858 
28/01/2021,30.6023 
27/01/2021,30.4973 
26/01/2021,30.9795 
25/01/2021,31.0994 
22/01/2021,30.9806 
21/01/2021,31.1637 
20/01/2021,31.2335 
19/01/2021,30.8481 
18/01/2021,30.7515 
15/01/2021,30.7362 
14/01/2021,30.8762 
13/01/2021,30.8297 
12/01/2021,30.7732 
11/01/2021,30.7449 
08/01/2021,30.7404 
07/01/2021,30.5167 
06/01/2021,30.0705 
05/01/2021,29.9117 
04/01/2021,29.7646 
31/12/2020,30.0772 
30/12/2020,29.8716 
29/12/2020,29.9696 
