Data,NAV_1,NAV_2,N_SHARES_1,N_SHARES_2,AVERAGE_PRICE_1,AVERAGE_PRICE_2,TOTAL_PORTFOLIO,TAX_PAID
2018-07-02,108.7254,23.5543,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4763.529751484701,-6.583253777350293
2018-07-03,108.839,23.4677,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4728.186498700414,0.0
2018-07-04,108.6201,23.4814,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4730.485408475145,0.0
2018-07-05,108.8347,23.5359,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4741.403539319304,0.0
2018-07-06,108.899,23.6238,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4758.552480990456,0.0
2018-07-09,108.8617,23.8027,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4793.180487827371,0.0
2018-07-10,108.8256,23.9491,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4821.508664656079,0.0
2018-07-11,108.8838,23.7393,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4780.923246485586,0.0
2018-07-12,108.9028,23.9668,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4825.066809929503,0.0
2018-07-13,109.0138,24.0436,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4840.139724692766,0.0
2018-07-16,108.9207,23.941,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4820.09339486868,0.0
2018-07-17,108.9679,24.052,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4841.693524944922,0.0
2018-07-18,108.9314,24.1817,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4866.782897880263,0.0
2018-07-19,109.0436,24.1466,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4860.160224886511,0.0
2018-07-20,108.8177,23.9997,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4831.307163600744,0.0
2018-07-23,108.5142,24.0236,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4835.445685768537,0.0
2018-07-24,108.5623,24.1528,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4860.576288252422,0.0
2018-07-25,108.5787,24.339,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4896.707484180475,0.0
2018-07-26,108.4876,24.3719,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4902.93803784008,0.0
2018-07-27,108.5026,24.3206,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4893.015404714087,0.0
2018-07-30,108.3575,24.1112,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4852.175489975043,0.0
2018-07-31,108.5099,24.1745,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4864.698358198845,0.0
2018-08-01,108.2623,24.1905,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4867.396364082758,0.0
2018-08-02,108.0706,24.3122,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4890.681033534993,0.0
2018-08-03,108.4095,24.4337,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4914.793570436831,0.0
2018-08-06,108.5269,24.5246,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4932.610945904256,0.0
2018-08-07,108.4232,24.5752,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4942.252971329774,0.0
2018-08-08,108.4285,24.5286,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4933.225830637773,0.0
2018-08-09,108.5439,24.5917,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4945.649485210259,0.0
2018-08-10,108.7368,24.621,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4951.645861655443,0.0
2018-08-13,108.6574,24.4992,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4927.899004887605,0.0
2018-08-14,108.6116,24.7086,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4968.427115923046,0.0
2018-08-15,108.7197,24.6065,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4948.806363771422,0.0
2018-08-16,108.6934,24.6057,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4948.608286068869,0.0
2018-08-17,108.7214,24.6503,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4957.302014363274,0.0
2018-08-20,108.7127,24.6976,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4966.459332577114,0.0
2018-08-21,108.8293,24.5883,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4945.456374911439,0.0
2018-08-22,108.8148,24.4535,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4919.294805598601,0.0
2018-08-23,108.8004,24.4425,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4917.138372028645,0.0
2018-08-24,108.7889,24.4583,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4920.1832281242805,0.0
2018-08-27,108.5049,24.5908,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4945.41127402663,0.0
2018-08-28,108.5486,24.5296,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4933.615895435145,0.0
2018-08-29,108.4953,24.6521,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4957.28173947403,0.0
2018-08-30,108.5643,24.6389,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4954.834943357431,0.0
2018-08-31,108.5766,24.6046,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4948.204221154788,0.0
2018-09-03,108.4221,24.6016,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4947.370167161837,0.0
2018-09-04,108.5261,24.6304,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4953.124389485712,0.0
2018-09-05,108.4537,24.3686,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4902.242793711719,0.0
2018-09-06,108.5826,24.278,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4884.885879091347,0.0
2018-09-07,108.3785,24.2917,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4887.208962228117,0.0
2018-09-10,108.4089,24.3206,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4892.862361199012,0.0
2018-09-11,108.2517,24.4028,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4908.544282089976,0.0
2018-09-12,108.3108,24.3918,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4906.507898662581,0.0
2018-09-13,108.3005,24.4048,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4909.011791313483,0.0
2018-09-14,108.1877,24.4526,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4918.096029940955,0.0
2018-09-17,108.2255,24.3509,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4898.438014812083,0.0
2018-09-18,108.0477,24.4483,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4917.033587709042,0.0
2018-09-19,107.9009,24.5734,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4941.050858100748,0.0
2018-09-20,107.9354,24.619,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4949.94910430552,0.0
2018-09-21,108.003,24.6489,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4955.857164579662,0.0
2018-09-24,107.8489,24.5105,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4928.769537230785,0.0
2018-09-25,107.7614,24.5205,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4930.565632705337,0.0
